11:57:46 INFO  : Registering command handlers for SDK TCF services
11:57:47 INFO  : Launching XSCT server: xsct.bat -interactive D:\project_1\project_1.sdk\temp_xsdb_launch_script.tcl
11:57:49 INFO  : XSCT server has started successfully.
11:57:49 INFO  : Successfully done setting XSCT server connection channel  
11:57:50 INFO  : Successfully done setting SDK workspace  
11:57:50 INFO  : Processing command line option -hwspec D:/project_1/project_1.sdk/design_1_wrapper.hdf.
11:58:58 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:58:59 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
11:59:01 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
11:59:20 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:59:20 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
11:59:23 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
11:59:47 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:59:47 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
11:59:49 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:00:36 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:00:36 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:00:38 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:00:57 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:00:57 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:00:59 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:01:24 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:01:24 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:01:26 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:02:26 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:02:26 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:02:28 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:08:20 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:08:20 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:08:22 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:09:00 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:09:00 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:09:02 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:10:40 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:10:40 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:10:42 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:11:33 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:11:33 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:11:35 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:13:37 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:13:37 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:13:39 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:15:01 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:15:01 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:15:03 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:15:41 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:15:41 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:15:43 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:16:42 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:16:42 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:16:45 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:17:21 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:17:21 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:17:23 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:21:13 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:21:13 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:21:15 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:22:30 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:22:30 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:22:32 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:23:12 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
